INSTNM,SAT25,SAT75
SUNY College of Agriculture and Technology at Cobleskill,970,1170
Farmingdale State College,1010,1190
SUNY at Albany,1090,1280
Binghamton University,1310,1470
University at Buffalo,1180,1360
Stony Brook University,1300,1480
SUNY Polytechnic Institute,1040,1400
SUNY Brockport,1040,1230
SUNY Buffalo State,930,1160
SUNY Cortland,1090,1240
SUNY at Fredonia,1090,1280
SUNY College at Geneseo,1160,1320
State University of New York at New Paltz,1150,1318
SUNY College at Oswego,1060,1280
SUNY at Purchase College,1120,1320
SUNY College at Old Westbury,1070,1260
SUNY College at Plattsburgh,1050,1240
SUNY Maritime College,1100,1288
Syracuse University,1220,1400
Union College,1270,1450
United States Merchant Marine Academy,1150,1330
United States Military Academy,1200,1440
Vassar College,1420,1540
Villa Maria College,800,1110
School of Visual Arts,1140,1363
Webb Institute,1390,1510
Appalachian State University,1130,1300
Barton College,970,1150
Belmont Abbey College,1028,1206
Cabarrus College of Health Sciences,945,1145
Campbell University,1030,1230
Catawba College,990,1150
Chowan University,875,1080
Duke University,1468,1558
Elizabeth City State University,860,1070
Fayetteville State University,830,1040
Gardner-Webb University,960,1215
Guilford College,950,1200
High Point University,1105,1300
Lees-McRae College,1040,1240
Livingstone College,810,988
Meredith College,1098,1273
Methodist University,1110,1230
Montreat College,1030,1220
University of Mount Olive,990,1150
North Carolina A & T State University,990,1170
University of North Carolina at Asheville,1130,1330
University of North Carolina at Chapel Hill,1140,1380
University of North Carolina at Charlotte,1120,1320
University of North Carolina at Greensboro,1095,1260
North Carolina Central University,930,1150
University of North Carolina School of the Arts,1160,1380
North Carolina State University at Raleigh,1270,1440
North Carolina Wesleyan College,860,1120
University of North Carolina Wilmington,1210,1330
William Peace University,1078,1230
University of North Carolina at Pembroke,890,1140
Pfeiffer University,891,1165
Queens University of Charlotte,1060,1238
Mid-Atlantic Christian University,760,1160
Salem College,1053,1200
Winston-Salem State University,880,1040
Western Carolina University,1060,1230
Dickinson State University,923,1063
University of Jamestown,900,1140
Minot State University,990,1200
University of North Dakota,1110,1290
North Dakota State University-Main  ,1096,1313
Valley City State University,935,1190
Ashland University,1050,1250
Baldwin Wallace University,1040,1250
Bowling Green State University-Main  ,1020,1210
Capital University,1000,1260
Case Western Reserve University,1410,1530
Cedarville University,1120,1350
Central State University,770,950
University of Cincinnati,1150,1350
Cleveland Institute of Art,1040,1270
Cleveland State University,900,1170
University of Dayton,1130,1330
Defiance College,860,1110
Denison University,1230,1430
The University of Findlay,1010,1213
Heidelberg University,1030,1162
John Carroll University,1120,1340
Kent State University at Kent,1000,1210
Kenyon College,1340,1500
Lake Erie College,905,1130
Malone University,993,1178
Marietta College,950,1190
Mercy College of Ohio,728,930
Miami University-Oxford,1160,1370
University of Mount Union,980,1180
Mount Vernon Nazarene University,1020,1218
Mount Saint Joseph University,1018,1193
Notre Dame College,890,1100
Oberlin College,1338,1460
Ohio Northern University,1090,1300
Ohio State University-Main  ,1250,1440
Ohio University-Main  ,1070,1290
Ohio Wesleyan University,1210,1390
Otterbein University,1028,1233
Franciscan University of Steubenville,1100,1310
University of Toledo,1030,1280
Ursuline College,1056,1155
Walsh University,1035,1220
Wilberforce University,780,1147
Wilmington College,960,1150
Wittenberg University,1010,1230
The College of Wooster,1220,1430
Wright State University-Main  ,945,1250
Wright State University-Lake  ,790,890
Xavier University,1090,1280
Youngstown State University,930,1180
Bacone College,938,1033
Oklahoma Wesleyan University,880,1130
East Central University,881,960
Randall University,880,1060
Northeastern State University,878,1085
Northwestern Oklahoma State University,850,1090
Oklahoma Christian University,1000,1220
Oklahoma State University-Main  ,1050,1250
Oklahoma Baptist University,980,1210
Oklahoma City University,1040,1233
University of Oklahoma-Norman  ,1150,1340
Oral Roberts University,900,1210
Southeastern Oklahoma State University,880,1080
University of Tulsa,1070,1370
George Fox University,1090,1350
Lewis & Clark College,1240,1420
Bushnell University,1140,1215
Oregon Institute of Technology,1066,1300
Oregon State University,1120,1370
Pacific University,1090,1310
Portland State University,1000,1250
University of Portland,1165,1360
Southern Oregon University,980,1230
Corban University,1003,1165
Bryn Athyn College of the New Church,975,1293
Allegheny College,1140,1350
DeSales University,1080,1260
Arcadia University,1080,1280
Bucknell University,1295,1450
Cabrini University,998,1215
California University of Pennsylvania,940,1150
Carlow University,955,1140
Carnegie Mellon University,1480,1560
Cedar Crest College,1020,1210
Chestnut Hill College,900,1090
Delaware Valley University,1050,1250
Drexel University,1210,1410
Duquesne University,1140,1310
East Stroudsburg University of Pennsylvania,960,1150
Edinboro University of Pennsylvania,970,1170
Elizabethtown College,1070,1280
Gannon University,990,1250
Gettysburg College,1280,1430
Grove City College,1130,1382
Gwynedd Mercy University,990,1200
Haverford College,1420,1540
Holy Family University,930,1220
Immaculata University,1083,1230
Indiana University of Pennsylvania-Main  ,940,1140
Keystone College,920,1170
Kutztown University of Pennsylvania,990,1200
La Roche University,965,1160
Lafayette College,1300,1460
Lancaster Bible College,1010,1210
Lebanon Valley College,1078,1290
Lehigh University,1325,1490
Lincoln University,890,1073
Lock Haven University,980,1190
Lycoming College,1080,1250
Mansfield University of Pennsylvania,970,1150
Marywood University,1020,1220
Messiah University,1100,1340
Millersville University of Pennsylvania,1000,1220
Muhlenberg College,1200,1370
Neumann University,905,1085
University of Pennsylvania,1480,1570
University of the Sciences,1090,1340
University of Pittsburgh-Bradford,990,1180
University of Pittsburgh-Greensburg,1030,1210
University of Pittsburgh-Johnstown,1020,1230
University of Pittsburgh-Pittsburgh  ,1250,1470
University of Pittsburgh-Titusville,1020,1170
Point Park University,950,1180
Reading Hospital School of Health Sciences,957,1145
Rosemont College,980,1200
Saint Joseph's University,1120,1310
Saint Vincent College,950,1213
University of Scranton,1100,1280
Shippensburg University of Pennsylvania,970,1180
Slippery Rock University of Pennsylvania,970,1170
Swarthmore College,1430,1560
Thiel College,965,1165
Thomas Jefferson University,1130,1320
Ursinus College,1200,1360
Villanova University,1350,1490
Washington & Jefferson College,1050,1300
West Chester University of Pennsylvania,1070,1250
Westminster College,1040,1258
Widener University,1080,1275
Wilkes University,1040,1250
Wilson College,960,1200
York College of Pennsylvania,1028,1220
